                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0271,                 28.506,                0.91311,                0.20986,                0.05541,                0.01113,                0.00665,                0.34109,                 3.2449,                0.28623,             0.00023397,             0.00023397,             0.00023397
                      2,                0.45935,                 1.7509,                0.36349,                0.53522,                0.28826,                0.23628,                0.19126,                0.29731,                 1.5236,                 0.2924,             0.00046729,             0.00046729,             0.00046729
                      3,                0.38572,                 1.1031,                0.29245,                0.70122,                 0.5995,                0.61504,                 0.4901,                0.30808,                0.98144,                 0.3192,             0.00069591,             0.00069591,             0.00069591
                      4,                0.36197,                0.87377,                0.27001,                0.74604,                0.71504,                0.73567,                0.60124,                0.30121,                0.81233,                0.31362,             0.00069279,             0.00069279,             0.00069279
                      5,                0.32333,                0.77717,                 0.2376,                0.88263,                0.78591,                0.84775,                 0.6872,                0.25899,                0.60978,                0.27515,             0.00068573,             0.00068573,             0.00068573
                      6,                0.32434,                0.71269,                0.22927,                0.74485,                0.67472,                0.71161,                0.56942,                0.28616,                0.90046,                0.28216,             0.00067866,             0.00067866,             0.00067866
                      7,                0.31888,                0.67495,                0.22625,                0.88932,                0.80525,                0.85509,                0.69798,                 0.2628,                0.62694,                0.29934,             0.00067159,             0.00067159,             0.00067159
                      8,                0.28526,                0.59131,                0.21112,                0.87722,                0.70417,                0.81804,                0.68117,                0.25084,                0.71922,                0.27305,             0.00066452,             0.00066452,             0.00066452
                      9,                0.30875,                0.71059,                0.22354,                0.83231,                0.82053,                0.85648,                0.69795,                0.25888,                0.60518,                0.28841,             0.00065745,             0.00065745,             0.00065745
                     10,                0.29258,                0.65377,                0.21832,                0.88625,                0.81122,                0.88796,                0.72961,                0.23608,                0.61147,                 0.2508,             0.00065038,             0.00065038,             0.00065038
                     11,                0.28702,                0.58239,                0.22416,                0.92841,                0.84011,                0.90418,                0.75858,                0.22686,                0.47556,                0.24961,             0.00064331,             0.00064331,             0.00064331
                     12,                0.26968,                 0.5587,                0.18734,                0.90706,                0.85511,                0.90314,                0.76051,                0.22121,                0.49949,                0.24176,             0.00063625,             0.00063625,             0.00063625
                     13,                0.25631,                0.56907,                0.18154,                0.94079,                0.85178,                0.92124,                0.79473,                0.20385,                0.41988,                0.20828,             0.00062918,             0.00062918,             0.00062918
                     14,                0.27412,                 0.5428,                0.19517,                0.94503,                0.86341,                0.92221,                0.79206,                0.19646,                0.42312,                0.19388,             0.00062211,             0.00062211,             0.00062211
                     15,                0.26285,                0.51467,                0.17846,                0.96699,                0.88839,                 0.9405,                  0.797,                0.20844,                0.39913,                0.23945,             0.00061504,             0.00061504,             0.00061504
                     16,                0.25504,                0.52355,                0.18215,                0.96066,                0.86853,                0.91562,                 0.8006,                0.19538,                0.40629,                0.20956,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.2351,                0.48024,                0.15874,                0.96796,                0.90489,                0.94936,                0.83965,                0.18438,                0.32768,                0.17777,              0.0006009,              0.0006009,              0.0006009
                     18,                0.24405,                 0.4769,                0.17557,                0.91163,                0.88651,                0.93269,                0.81703,                0.19718,                0.40385,                0.20765,             0.00059383,             0.00059383,             0.00059383
                     19,                0.23678,                0.48185,                0.16642,                0.93232,                0.89916,                0.93902,                0.81492,                0.20245,                0.39617,                0.21993,             0.00058677,             0.00058677,             0.00058677
                     20,                0.24284,                0.44902,                0.17001,                 0.9717,                0.90774,                0.95371,                0.83401,                 0.1909,                0.35226,                0.20583,              0.0005797,              0.0005797,              0.0005797
                     21,                0.23102,                0.45886,                0.16247,                0.95429,                0.87635,                0.92471,                0.80668,                0.21029,                0.42202,                0.24296,             0.00057263,             0.00057263,             0.00057263
                     22,                0.23216,                0.47799,                0.15826,                0.96953,                0.90379,                0.93967,                0.82194,                0.18968,                0.35532,                0.18688,             0.00056556,             0.00056556,             0.00056556
                     23,                0.23125,                0.45057,                0.15427,                0.93358,                0.89217,                0.93279,                0.80902,                0.19734,                0.38012,                0.19985,             0.00055849,             0.00055849,             0.00055849
